Sample	Total Reads	Mapped Reads	Mapped Reads(%)	Properly Paired	Properly Paired(%)	Duplicate Reads	Read1	Read2	Singletons	Discordant Reads
SRR5341194	6878417	4692277	68.22	4570606	97.41	0	3419946	3436299	17617	0
SRR5341195	5249040	3823657	72.84	3755038	98.21	0	2617510	2623308	12489	0
SRR5341196	2372816	2247538	94.72	1914658	85.19	0	1090012	1146347	51135	0
SRR5341197	1907134	1775911	93.12	1516032	85.37	0	873246	927263	65900	0
SRR5341198	1747254	1653053	94.61	1455864	88.07	0	814487	851176	46054	0
SRR5341199	1098649	1045663	95.18	986426	94.33	0	534209	551381	30630	0
SRR5341200	1071172	1041336	97.21	960154	92.2	0	515471	524146	16531	0
SRR5341201	918386	878795	95.69	804260	91.52	0	441249	453370	23612	0
SRR5341202	1254572	1187126	94.62	1114594	93.89	0	607823	629881	37258	0
SRR5341203	628440	587813	93.54	523848	89.12	0	300566	310314	26599	0
SRR5341204	892586	845151	94.69	727854	86.12	0	418616	430941	28764	0
SRR5341205	837300	808411	96.55	764150	94.52	0	408723	415686	17502	0
SRR5341206	1074228	1035246	96.37	902776	87.2	0	504464	515443	22487	0
SRR5341207	981655	935494	95.3	868366	92.82	0	475108	488992	26815	0
SRR5341208	918175	865673	94.28	774478	89.47	0	437057	451784	32511	0
SRR5341209	3016402	2934212	97.28	2817564	96.02	0	1472237	1507755	23916	0
SRR5341210	5100521	4947462	97.0	4368148	88.29	0	2374561	2459530	35484	0
SRR5341211	3694148	3586346	97.08	3173150	88.48	0	1721926	1775188	29606	0
SRR5341212	1641532	1595094	97.17	1510644	94.71	0	798431	815205	19444	0
SRR5341213	1870309	1817864	97.2	1722864	94.77	0	912659	928190	16582	0
SRR5341214	2020359	1925026	95.28	1676516	87.09	0	943199	971024	23426	0
SRR5341215	3494351	3328066	95.24	2805706	84.3	0	1588815	1654173	32273	0
SRR5341216	2322214	2139682	92.14	1791314	83.72	0	1058088	1126414	48222	0
SRR5341217	759220	625387	82.37	444066	71.01	0	328731	368609	43911	0
SRR5341218	972369	954899	98.2	909888	95.29	0	476279	480328	8759	0
